,country,week,count
655,Lithuania,7,0
656,Luxembourg,7,0
657,MS Zaandam,7,0
658,Madagascar,7,0
659,Malawi,7,0
660,Malaysia,7,0
661,Maldives,7,0
662,Mali,7,0
663,Malta,7,0
664,Mauritania,7,0
665,Mauritius,7,0
666,Mexico,7,0
667,Moldova,7,0
668,Monaco,7,0
669,Mongolia,7,0
670,Montenegro,7,0
671,Morocco,7,0
672,Mozambique,7,0
673,Namibia,7,0
674,Nepal,7,0
675,Netherlands,7,0
676,New Zealand,7,0
677,Nicaragua,7,0
678,Niger,7,0
679,Nigeria,7,0
680,North Macedonia,7,0
681,Norway,7,0
682,Oman,7,0
683,Pakistan,7,0
684,Panama,7,0
685,Papua New Guinea,7,0
686,Paraguay,7,0
687,Peru,7,0
688,Philippines,7,1
689,Poland,7,0
690,Portugal,7,0
691,Qatar,7,0
692,Romania,7,0
693,Russia,7,0
694,Rwanda,7,0
695,Saint Kitts and Nevis,7,0
696,Saint Lucia,7,0
697,Saint Vincent and the Grenadines,7,0
698,San Marino,7,0
699,Sao Tome and Principe,7,0
700,Saudi Arabia,7,0
701,Senegal,7,0
702,Serbia,7,0
703,Seychelles,7,0
704,Sierra Leone,7,0
705,Singapore,7,0
706,Slovakia,7,0
707,Slovenia,7,0
708,Somalia,7,0
709,South Africa,7,0
710,South Sudan,7,0
711,Spain,7,0
712,Sri Lanka,7,0
713,Sudan,7,0
714,Suriname,7,0
715,Sweden,7,0
716,Switzerland,7,0
717,Syria,7,0
718,Taiwan*,7,1
719,Tanzania,7,0
720,Thailand,7,0
721,Timor-Leste,7,0
722,Togo,7,0
723,Trinidad and Tobago,7,0
724,Tunisia,7,0
725,Turkey,7,0
726,US,7,0
727,Uganda,7,0
728,Ukraine,7,0
729,United Arab Emirates,7,0
730,United Kingdom,7,0
731,Uruguay,7,0
732,Uzbekistan,7,0
733,Venezuela,7,0
734,Vietnam,7,0
735,West Bank and Gaza,7,0
736,Western Sahara,7,0
737,Yemen,7,0
738,Zambia,7,0
739,Zimbabwe,7,0
740,Afghanistan,8,0
741,Albania,8,0
742,Algeria,8,0
743,Andorra,8,0
744,Angola,8,0
745,Antigua and Barbuda,8,0
746,Argentina,8,0
747,Armenia,8,0
748,Australia,8,0
749,Austria,8,0
750,Azerbaijan,8,0
751,Bahamas,8,0
752,Bahrain,8,0
753,Bangladesh,8,0
754,Barbados,8,0
755,Belarus,8,0
756,Belgium,8,0
757,Belize,8,0
758,Benin,8,0
759,Bhutan,8,0
760,Bolivia,8,0
761,Bosnia and Herzegovina,8,0
762,Botswana,8,0
763,Brazil,8,0
764,Brunei,8,0
765,Bulgaria,8,0
766,Burkina Faso,8,0
767,Burma,8,0
768,Burundi,8,0
769,Cabo Verde,8,0
770,Cambodia,8,0
771,Cameroon,8,0
772,Canada,8,0
773,Central African Republic,8,0
774,Chad,8,0
775,Chile,8,0
776,China,8,2445
777,Colombia,8,0
778,Congo (Brazzaville),8,0
779,Congo (Kinshasa),8,0
780,Costa Rica,8,0
781,Cote d'Ivoire,8,0
782,Croatia,8,0
783,Cuba,8,0
784,Cyprus,8,0
785,Czechia,8,0
786,Denmark,8,0
787,Diamond Princess,8,3
788,Djibouti,8,0
789,Dominica,8,0
790,Dominican Republic,8,0
791,Ecuador,8,0
792,Egypt,8,0
793,El Salvador,8,0
794,Equatorial Guinea,8,0
795,Eritrea,8,0
796,Estonia,8,0
797,Eswatini,8,0
798,Ethiopia,8,0
799,Fiji,8,0
800,Finland,8,0
801,France,8,1
802,Gabon,8,0
803,Gambia,8,0
804,Georgia,8,0
805,Germany,8,0
806,Ghana,8,0
807,Greece,8,0
808,Grenada,8,0
809,Guatemala,8,0
810,Guinea,8,0
811,Guinea-Bissau,8,0
812,Guyana,8,0
813,Haiti,8,0
814,Holy See,8,0
815,Honduras,8,0
816,Hungary,8,0
817,Iceland,8,0
818,India,8,0
819,Indonesia,8,0
820,Iran,8,8
821,Iraq,8,0
822,Ireland,8,0
823,Israel,8,0
824,Italy,8,3
825,Jamaica,8,0
826,Japan,8,1
827,Jordan,8,0
828,Kazakhstan,8,0
829,Kenya,8,0
830,"Korea, South",8,6
831,Kosovo,8,0
832,Kuwait,8,0
833,Kyrgyzstan,8,0
834,Laos,8,0
835,Latvia,8,0
836,Lebanon,8,0
837,Liberia,8,0
838,Libya,8,0
839,Liechtenstein,8,0
840,Lithuania,8,0
841,Luxembourg,8,0
842,MS Zaandam,8,0
843,Madagascar,8,0
844,Malawi,8,0
845,Malaysia,8,0
846,Maldives,8,0
847,Mali,8,0
848,Malta,8,0
849,Mauritania,8,0
850,Mauritius,8,0
851,Mexico,8,0
852,Moldova,8,0
853,Monaco,8,0
854,Mongolia,8,0
855,Montenegro,8,0
856,Morocco,8,0
857,Mozambique,8,0
858,Namibia,8,0
859,Nepal,8,0
860,Netherlands,8,0
861,New Zealand,8,0
862,Nicaragua,8,0
863,Niger,8,0
864,Nigeria,8,0
865,North Macedonia,8,0
866,Norway,8,0
867,Oman,8,0
868,Pakistan,8,0
869,Panama,8,0
870,Papua New Guinea,8,0
