,Unnamed: 0,country,week,NO2,PM2.5
465,465,South Korea,15,-38.722397476340696,11.785228046289973
466,466,South Korea,16,-26.17187499999999,-8.27399601253203
467,467,South Korea,17,-59.70744680851064,-36.42441860465115
468,468,Spain,5,-12.5,20.72621256294722
469,469,Spain,6,-5.716406829992575,0.7134363852556515
470,470,Spain,7,-30.019880715705764,33.79215416379905
471,471,Spain,8,-18.60465116279069,-22.042410714285715
472,472,Spain,9,-26.685796269727412,-0.06858710562412706
473,473,Spain,10,-24.52107279693485,-37.189292543021054
474,474,Spain,11,-5.810684161199646,-15.318869165023012
475,475,Spain,12,-59.71014492753622,-2.545909849749585
476,476,Spain,13,-57.14285714285713,-25.042735042735053
477,477,Spain,14,-53.0494821634062,22.482758620689644
478,478,Spain,15,-55.213505461767625,45.78034682080925
479,479,Spain,16,-40.23372287145242,25.6756756756757
480,480,Spain,17,-51.785714285714285,11.81208053691275
481,481,Sweden,5,82.02764976958522,
482,482,Sweden,6,223.6842105263158,
483,483,Sweden,7,116.66666666666664,
484,484,Sweden,8,69.44444444444443,
485,485,Sweden,9,193.33333333333337,
486,486,Sweden,10,148.57142857142856,
487,487,Sweden,11,103.03030303030302,
488,488,Sweden,12,128.12500000000003,
489,489,Sweden,13,135.48387096774192,
490,490,Sweden,14,66.66666666666664,
491,491,Sweden,15,38.636363636363605,
492,492,Sweden,16,-3.8461538461538565,
493,493,Sweden,17,112.74509803921566,
494,494,Thailand,5,-24.0033222591362,-16.096089126145998
495,495,Thailand,6,-32.62910798122065,25.50231839258114
496,496,Thailand,7,-45.433789954337904,0.5399568034557153
497,497,Thailand,8,0.26455026455025704,45.6657730116175
498,498,Thailand,9,-18.472906403940875,25.37634408602151
499,499,Thailand,10,-45.72727272727273,-18.84201585503963
500,500,Thailand,11,-27.732793522267183,-1.986506746626668
501,501,Thailand,12,-29.113924050632903,-20.658465991316945
502,502,Thailand,13,-42.772511848341246,-23.304347826086957
503,503,Thailand,14,-62.317073170731696,-16.519434628975265
504,504,Thailand,15,-20.299727520435987,-5.532359081419612
505,505,Thailand,16,-22.357512953367905,-14.506880733944959
506,506,Thailand,17,-66.32075471698114,-30.415202108963094
507,507,Turkey,5,17.785096747632803,52.22153181821038
508,508,Turkey,6,5.786594529606249,6.9313641552511625
509,509,Turkey,7,16.93387946167352,20.5209864445533
510,510,Turkey,8,-12.36651739579746,23.38453789977336
511,511,Turkey,9,-12.254414537973595,-5.043455272462887
512,512,Turkey,10,16.38811142209779,9.307100785340324
513,513,Turkey,11,3.410072673679939,67.20025871129434
514,514,Turkey,12,4.437012263099218,6.532882199665556
515,515,Turkey,13,18.602056877397242,60.15460638974512
516,516,Turkey,14,-27.540625517127275,1.3808623638491526
517,517,Turkey,15,6.333733493397367,53.28584051248065
518,518,Turkey,16,8.135593220339,93.6514745308311
519,519,Turkey,17,-25.38361429738809,-0.47856845609654375
520,520,UK,5,-37.42959549411163,-29.872288974533372
521,521,UK,6,-21.85467910658753,-2.456844923553872
522,522,UK,7,-35.319589569801366,-51.20828812578043
523,523,UK,8,-51.627500190128515,-58.771807564761865
524,524,UK,9,-17.341513292433532,-59.46267093629791
525,525,UK,10,18.392294869420287,32.008503051498344
526,526,UK,11,-11.447963800905004,-6.342104328681492
527,527,UK,12,-27.91633145615448,-26.13839856740857
528,528,UK,13,-36.43102113065605,16.769289974985593
529,529,UK,14,-42.58872651356993,-47.99749687108887
530,530,UK,15,-34.18947368421051,0.6918238993711058
531,531,UK,16,-52.663735246470715,-41.20817145005639
532,532,UK,17,-60.922330097087375,-14.31943560364949
533,533,USA,5,199.047619047619,-15.526355726426544
534,534,USA,6,59.668420213613906,-0.3556716759478095
